# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 152K of event 'cycles'
# Event count (approx.): 389675809010
#
# Children      Self  Symbol                                         IPC   [IPC Coverage]
# ........  ........  .............................................  ....................
#
     0.01%     0.00%  [k] handle_softirqs                            -      -            
     0.01%     0.00%  [k] ____do_softirq                             -      -            
     0.01%     0.00%  [k] __do_softirq                               -      -            
     0.01%     0.00%  [k] __irq_exit_rcu                             -      -            
     0.01%     0.00%  [k] call_on_irq_stack                          -      -            
     0.01%     0.00%  [k] do_softirq_own_stack                       -      -            
     0.01%     0.00%  [k] irq_exit_rcu                               -      -            
     0.01%     0.00%  [.] RAND_get_rand_method                       -      -            
     0.01%     0.00%  [.] ERR_pop_to_mark                            -      -            
     0.01%     0.01%  [.] BN_with_flags                              -      -            
     0.01%     0.00%  [.] WPACKET_init_null                          -      -            
     0.01%     0.01%  [.] WPACKET_get_curr                           -      -            
     0.01%     0.01%  [.] malloc@plt                                 -      -            
     0.01%     0.01%  [.] bn_mul_comba8                              -      -            
     0.01%     0.00%  [.] ERR_set_mark                               -      -            
     0.01%     0.00%  [.] DSA_size                                   -      -            
     0.01%     0.00%  [.] dsa_get_params                             -      -            
     0.01%     0.00%  [.] evp_keymgmt_util_cache_keyinfo             -      -            
     0.00%     0.00%  [.] pthread_once@@GLIBC_2.34                   -      -            
     0.00%     0.00%  [.] sha256_block_armv8                         -      -            
     0.00%     0.00%  [.] BN_sub                                     -      -            
     0.00%     0.00%  [.] 0x00000000000005dc                         -      -            
     0.00%     0.00%  [.] 0x0000ffff88edd5dc                         -      -            
     0.00%     0.00%  [.] DSA_SIG_free                               -      -            
     0.00%     0.00%  [.] WPACKET_init_static_len                    -      -            
     0.00%     0.00%  [.] BN_cmp                                     -      -            
     0.00%     0.00%  [.] memset@plt                                 -      -            
     0.00%     0.00%  [.] ERR_set_debug                              -      -            
     0.00%     0.00%  [.] CRYPTO_secure_clear_free                   -      -            
     0.00%     0.00%  [.] BN_MONT_CTX_free                           -      -            
     0.00%     0.00%  [.] unlink_chunk.constprop.0                   -      -            
     0.00%     0.00%  [.] ossl_ffc_params_copy                       -      -            
     0.00%     0.00%  [k] sched_balance_softirq                      -      -            
     0.00%     0.00%  [.] EVP_PKEY_free                              -      -            
     0.00%     0.00%  [.] pthread_getspecific@@GLIBC_2.34            -      -            
     0.00%     0.00%  [.] bn_get_top                                 -      -            
     0.00%     0.00%  [.] rsa_gencb                                  -      -            
     0.00%     0.00%  [.] rsa_get_blinding                           -      -            
     0.00%     0.00%  [k] sched_balance_domains                      -      -            
     0.00%     0.00%  [.] BN_set_flags                               -      -            
     0.00%     0.00%  [.] HMAC_CTX_free                              -      -            
     0.00%     0.00%  [.] BN_set_word                                -      -            
     0.00%     0.00%  [.] RSA_size                                   -      -            
     0.00%     0.00%  [.] memcmp                                     -      -            
     0.00%     0.00%  [.] ossl_crypto_new_ex_data_ex                 -      -            
     0.00%     0.00%  [.] BN_zero_ex                                 -      -            
     0.00%     0.00%  [.] SHA256_Update_thunk                        -      -            
     0.00%     0.00%  [.] bn_correct_top_consttime                   -      -            
     0.00%     0.00%  [.] BN_dup                                     -      -            
     0.00%     0.00%  [.] BN_lshift                                  -      -            
     0.00%     0.00%  [.] BN_is_one                                  -      -            
     0.00%     0.00%  [.] CRYPTO_malloc_array                        -      -            
     0.00%     0.00%  [.] EVP_CipherUpdate                           -      -            
     0.00%     0.00%  [.] pthread_once@plt                           -      -            
